Bulbasaur,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
19,6,15,11,39.5,1499,151,0.9895
20,5,14,14,39.5,1494,153,0.9895
4096,0,0,0,40,1341,143,0.8301
,,,,,,,
Aipom,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,1348,127,1
2,14,15,15,40,1339,127,0.9934
3,15,15,14,40,1344,126,0.9921
4,15,14,15,40,1343,127,0.9921
5,13,15,15,40,1330,127,0.9868
6,14,15,14,40,1335,126,0.9856
7,14,14,15,40,1334,127,0.9856
8,15,15,15,39.5,1338,126,0.985
9,15,14,14,40,1339,126,0.9843
10,15,15,13,40,1340,125,0.9843
11,15,13,15,40,1337,127,0.9843
12,12,15,15,40,1321,127,0.9801
13,13,15,14,40,1326,126,0.979
14,13,14,15,40,1325,127,0.979
15,14,15,15,39.5,1330,126,0.9785
16,15,15,15,39,1329,126,0.978
17,14,14,14,40,1330,126,0.9778
18,14,15,13,40,1331,125,0.9777
19,14,13,15,40,1329,127,0.9777
20,15,14,15,39.5,1333,126,0.9773
4096,0,0,0,40,1086,115,0.7192
,,,,,,,
Sunkern,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,395,92,1
2,15,15,15,39.5,392,92,0.9929
3,15,15,14,40,393,91,0.9891
4,15,14,15,40,392,92,0.9857
5,14,15,15,40,390,92,0.9857
6,15,15,14,39.5,391,91,0.9821
7,15,14,15,39.5,390,92,0.9787
8,14,15,15,39.5,387,92,0.9787
9,15,15,13,40,392,90,0.9783
10,15,15,12,40,390,90,0.9783
11,15,15,15,39,390,91,0.975
12,15,15,14,39,388,91,0.975
13,15,14,14,40,391,91,0.975
14,14,15,14,40,388,91,0.975
15,14,14,15,40,387,92,0.9716
16,15,13,15,40,389,92,0.9714
17,13,15,15,40,384,92,0.9714
18,15,15,13,39.5,389,90,0.9713
19,15,14,14,39.5,388,91,0.968
20,14,15,14,39.5,385,91,0.968
4096,0,0,0,40,257,80,0.5368
,,,,,,,
Sunflora,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,15,15,26.5,1500,134,1
2,0,15,14,26.5,1496,134,1
3,1,14,14,26.5,1499,134,0.9987
4,1,15,13,26.5,1500,133,0.9979
5,0,15,8,27,1500,131,0.9961
6,2,15,11,26.5,1500,132,0.9957
7,0,14,15,26.5,1495,134,0.9933
8,0,14,14,26.5,1491,134,0.9933
9,0,9,15,27,1497,136,0.9927
10,0,15,13,26.5,1492,133,0.9925
11,0,10,14,27,1498,135,0.9923
12,1,13,15,26.5,1498,134,0.992
13,1,13,14,26.5,1494,134,0.992
14,0,11,13,27,1500,134,0.9917
15,1,14,13,26.5,1495,133,0.9912
16,1,8,15,27,1500,136,0.9912
17,0,12,11,27,1497,133,0.9911
18,2,12,14,26.5,1497,134,0.9906
19,1,15,12,26.5,1496,132,0.9904
20,1,15,11,26.5,1492,132,0.9904
4096,15,0,0,26.5,1478,124,0.9004
,,,,,,,
Yanma,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,1470,140,1
2,14,15,15,40,1461,140,0.9941
3,15,15,15,39.5,1459,140,0.9929
4,15,15,14,40,1466,139,0.9929
5,15,15,13,40,1461,139,0.9929
6,15,14,15,40,1463,140,0.9908
7,13,15,15,40,1452,140,0.9882
8,14,15,15,39.5,1451,140,0.987
9,14,15,14,40,1457,139,0.987
10,14,15,13,40,1453,139,0.987
11,15,15,14,39.5,1455,139,0.9858
12,15,15,12,40,1457,138,0.9857
13,14,14,15,40,1454,140,0.985
14,15,14,15,39.5,1453,140,0.9838
15,15,14,14,40,1459,139,0.9837
16,15,14,13,40,1455,139,0.9837
17,12,15,15,40,1444,140,0.9822
18,15,13,15,40,1456,140,0.9817
19,13,15,15,39.5,1442,140,0.9811
20,13,15,14,40,1448,139,0.9811
4096,0,0,0,40,1190,128,0.7185
,,,,,,,
Wooper,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,641,127,1
2,15,15,14,40,639,126,0.9921
3,14,15,15,40,634,127,0.9889
4,15,14,15,40,637,127,0.9877
5,15,15,15,39.5,637,126,0.985
6,15,15,13,40,637,125,0.9843
7,14,15,14,40,632,126,0.9811
8,15,14,14,40,635,126,0.9799
9,15,15,15,39,632,126,0.978
10,13,15,15,40,627,127,0.9778
11,15,15,14,39.5,635,125,0.9772
12,15,15,13,39.5,633,125,0.9772
13,14,14,15,40,630,127,0.9767
14,15,15,12,40,635,124,0.9764
15,15,15,11,40,633,124,0.9764
16,15,13,15,40,633,127,0.9753
17,14,15,15,39.5,630,126,0.9741
18,14,15,13,40,630,125,0.9733
19,15,14,15,39.5,633,126,0.9729
20,15,14,13,40,633,125,0.9721
4096,0,0,0,40,459,115,0.6149
,,,,,,,
Quagsire,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,15,14,29,1499,165,1
2,0,14,15,29,1498,166,0.9997
3,1,15,11,29,1499,163,0.9944
4,1,14,12,29,1498,164,0.9941
5,0,15,13,29,1496,164,0.9939
6,0,15,12,29,1493,164,0.9939
7,1,13,14,29,1499,165,0.9938
8,0,14,14,29,1494,165,0.9937
9,1,12,15,29,1498,166,0.9935
10,0,13,15,29,1493,166,0.9933
11,0,15,6,29.5,1498,161,0.9926
12,0,14,8,29.5,1500,162,0.9924
13,0,13,9,29.5,1499,163,0.9922
14,0,11,12,29.5,1499,165,0.9915
15,0,10,13,29.5,1497,166,0.991
16,0,9,15,29.5,1499,167,0.9905
17,3,15,13,28.5,1499,163,0.99
18,3,14,14,28.5,1498,164,0.9898
19,2,15,15,28.5,1496,164,0.9896
20,2,15,14,28.5,1493,164,0.9896
4096,15,0,3,28,1476,154,0.8961
,,,,,,,
Espeon,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,15,15,17.5,1498,99,1
2,1,14,15,17.5,1500,99,0.9985
3,0,14,15,17.5,1495,99,0.9947
4,1,15,14,17.5,1500,98,0.9937
5,1,15,13,17.5,1496,98,0.9937
6,1,13,15,17.5,1496,99,0.9933
7,2,14,13,17.5,1497,98,0.9922
8,2,12,15,17.5,1498,99,0.9918
9,0,10,10,18,1499,98,0.9914
10,8,15,15,17,1500,98,0.9911
11,3,15,11,17.5,1499,97,0.9911
12,3,13,13,17.5,1499,98,0.9907
13,0,8,12,18,1500,99,0.9907
14,3,11,15,17.5,1500,99,0.9902
15,0,15,14,17.5,1494,98,0.9899
16,0,15,13,17.5,1490,98,0.9899
17,0,6,14,18,1500,100,0.9897
18,4,14,11,17.5,1500,97,0.9896
19,0,13,15,17.5,1491,99,0.9895
20,1,14,14,17.5,1496,98,0.9885
4096,15,0,1,17.5,1460,91,0.8953
,,,,,,,
Umbreon,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,15,15,27.5,1500,161,1
2,0,15,14,27.5,1497,161,1
3,1,12,14,27.5,1500,161,0.9961
4,0,14,15,27.5,1497,161,0.9961
5,0,14,14,27.5,1494,161,0.9961
6,1,15,11,27.5,1499,159,0.9954
7,0,6,15,28,1500,163,0.9945
8,0,9,12,28,1500,161,0.9942
9,1,13,13,27.5,1500,160,0.9938
10,0,15,13,27.5,1494,160,0.9938
11,0,12,9,28,1499,159,0.9937
12,0,7,14,28,1500,162,0.9924
13,0,13,15,27.5,1494,161,0.9922
14,0,13,14,27.5,1491,161,0.9922
15,1,11,15,27.5,1500,161,0.9921
16,1,11,14,27.5,1497,161,0.9921
17,0,10,11,28,1499,160,0.992
18,1,14,12,27.5,1499,159,0.9915
19,1,14,11,27.5,1496,159,0.9915
20,0,13,8,28,1498,158,0.9914
4096,15,4,0,25.5,1473,145,0.8942
,,,,,,,
Murkrow,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,7,15,15,40,1496,134,1
2,8,15,14,40,1500,133,0.998
3,9,15,14,39.5,1498,133,0.9963
4,8,14,15,40,1497,134,0.9956
5,6,15,15,40,1488,134,0.9945
6,10,15,15,39,1499,133,0.9945
7,7,15,14,40,1492,133,0.9925
8,10,14,14,39.5,1498,133,0.9919
9,9,13,15,40,1498,134,0.9912
10,8,15,15,39.5,1494,133,0.9909
11,8,15,14,39.5,1489,133,0.9909
12,8,15,13,40,1496,132,0.9905
13,12,15,14,38.5,1500,132,0.9905
14,7,14,15,40,1489,134,0.9902
15,11,14,15,39,1500,133,0.9901
16,9,15,15,39,1491,133,0.9891
17,5,15,15,40,1480,134,0.989
18,9,15,13,39.5,1493,132,0.9888
19,9,15,12,40,1499,131,0.9884
20,9,15,11,40,1495,131,0.9884
4096,0,0,0,40,1269,122,0.7467
,,,,,,,
Slowking,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,13,15,22.5,1500,146,1
2,0,14,13,22.5,1497,145,0.9983
3,0,15,12,22.5,1498,144,0.9965
4,1,15,10,22.5,1500,143,0.9952
5,0,12,15,22.5,1496,146,0.9948
6,1,12,13,22.5,1498,145,0.9936
7,0,13,14,22.5,1497,145,0.9932
8,0,13,13,22.5,1494,145,0.9932
9,1,13,12,22.5,1499,144,0.9919
10,0,14,12,22.5,1494,144,0.9914
11,4,14,14,22,1500,144,0.9913
12,3,15,15,22,1499,144,0.9909
13,3,15,14,22,1496,144,0.9909
14,2,13,10,22.5,1500,143,0.9905
15,0,7,12,23,1500,146,0.9905
16,1,14,11,22.5,1499,143,0.9901
17,1,14,10,22.5,1496,143,0.9901
18,1,10,15,22.5,1497,146,0.99
19,0,11,15,22.5,1492,146,0.9896
20,0,15,11,22.5,1495,143,0.9896
4096,15,4,0,21.5,1468,133,0.9002
,,,,,,,
Misdreavus,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,1,15,15,29.5,1499,123,1
2,0,10,14,30.5,1500,124,0.9972
3,0,14,12,30,1497,122,0.9968
4,0,11,15,30,1497,124,0.995
5,0,15,11,30,1497,121,0.9945
6,0,15,9,30.5,1500,120,0.9945
7,1,14,15,29.5,1494,123,0.9941
8,2,13,15,29.5,1499,123,0.994
9,0,15,15,29.5,1490,123,0.994
10,0,12,14,30,1497,123,0.993
11,4,15,15,29,1500,122,0.9925
12,1,15,7,30.5,1500,119,0.9921
13,2,14,14,29.5,1499,122,0.9919
14,1,15,14,29.5,1494,122,0.9919
15,0,9,12,31,1499,123,0.9913
16,0,9,15,30.5,1500,124,0.9911
17,0,9,14,30.5,1496,124,0.9911
18,1,8,14,30.5,1500,124,0.991
19,0,13,10,30.5,1496,121,0.9909
20,1,12,10,30.5,1500,121,0.9909
4096,15,0,0,29.5,1480,112,0.8989
,,,,,,,
Unown,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,1185,117,1
2,14,15,15,40,1177,117,0.9934
3,15,15,15,39.5,1176,117,0.9929
4,15,15,14,40,1181,116,0.9915
5,15,15,13,40,1177,116,0.9915
6,15,14,15,40,1179,117,0.9906
7,13,15,15,40,1169,117,0.9868
8,14,15,15,39.5,1168,117,0.9863
9,14,15,14,40,1173,116,0.9849
10,14,15,13,40,1169,116,0.9849
11,15,15,14,39.5,1172,116,0.9844
12,14,14,15,40,1171,117,0.984
13,15,14,15,39.5,1171,117,0.9835
14,15,15,12,40,1173,115,0.9829
15,15,14,14,40,1175,116,0.9821
16,15,14,13,40,1171,116,0.9821
17,15,13,15,40,1174,117,0.9811
18,12,15,15,40,1161,117,0.9801
19,13,15,15,39.5,1161,117,0.9797
20,13,15,14,40,1165,116,0.9783
4096,0,0,0,40,937,105,0.6939
,,,,,,,
Wobbuffet,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,1026,313,1
2,15,15,14,40,1025,312,0.9968
3,15,15,13,40,1024,312,0.9968
4,15,15,12,40,1022,311,0.9936
5,15,14,15,40,1022,313,0.9917
6,15,15,11,40,1021,310,0.9904
7,15,15,15,39.5,1019,312,0.9897
8,15,14,14,40,1021,312,0.9886
9,15,14,13,40,1019,312,0.9886
10,15,15,10,40,1020,309,0.9872
11,15,15,9,40,1018,309,0.9872
12,14,15,15,40,1012,313,0.9867
13,15,15,14,39.5,1018,311,0.9865
14,15,15,13,39.5,1016,311,0.9865
15,15,14,12,40,1018,311,0.9854
16,15,15,8,40,1017,308,0.984
17,14,15,14,40,1011,312,0.9835
18,14,15,13,40,1010,312,0.9835
19,15,13,15,40,1018,313,0.9835
20,15,15,12,39.5,1015,310,0.9833
4096,0,0,0,40,754,301,0.674
,,,,,,,
Girafarig,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,15,12,28,1500,130,1
2,1,15,15,27.5,1494,131,0.9951
3,0,12,15,28,1497,132,0.9948
4,0,13,14,28,1498,131,0.9941
5,2,14,15,27.5,1497,131,0.9938
6,1,11,15,28,1500,132,0.9934
7,0,14,13,28,1499,130,0.9932
8,0,14,12,28,1495,130,0.9932
9,2,15,14,27.5,1498,130,0.9929
10,3,13,15,27.5,1500,131,0.9924
11,0,15,11,28,1496,129,0.9923
12,1,13,12,28,1498,130,0.9919
13,1,14,11,28,1499,129,0.991
14,1,15,10,28,1500,128,0.99
15,0,15,15,27.5,1485,131,0.9897
16,0,12,9,28.5,1499,129,0.9895
17,0,13,8,28.5,1500,128,0.9886
18,1,14,15,27.5,1489,131,0.9884
19,0,11,15,28,1492,132,0.9879
20,2,15,8,28,1500,127,0.9877
4096,15,1,2,27.5,1476,121,0.8959
,,,,,,,
Pineco,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,1108,120,1
2,15,14,15,40,1104,120,0.9927
3,14,15,15,40,1099,120,0.9919
4,15,15,14,40,1104,119,0.9917
5,15,13,15,40,1100,120,0.9854
6,14,14,15,40,1095,120,0.9846
7,15,15,15,39.5,1100,119,0.9846
8,15,14,14,40,1100,119,0.9844
9,13,15,15,40,1090,120,0.9837
10,14,15,14,40,1095,119,0.9836
11,15,15,13,40,1101,118,0.9833
12,15,12,15,40,1096,120,0.9781
13,15,15,15,39,1092,119,0.9775
14,15,14,15,39.5,1096,119,0.9774
15,14,13,15,40,1091,120,0.9774
16,15,13,14,40,1096,119,0.9772
17,14,15,15,39.5,1091,119,0.9766
18,13,14,15,40,1086,120,0.9766
19,14,14,14,40,1091,119,0.9764
20,15,15,14,39.5,1097,118,0.9763
4096,0,0,0,40,872,108,0.7037
,,,,,,,
Forretress,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,9,15,25.5,1500,132,1
2,1,15,15,25,1500,130,0.9988
3,1,15,14,25,1496,130,0.9988
4,0,12,12,25.5,1499,130,0.9987
5,0,10,14,25.5,1500,131,0.9971
6,0,15,9,25.5,1497,128,0.9969
7,2,13,14,25,1499,130,0.9958
8,0,13,11,25.5,1498,129,0.9955
9,0,8,15,25.5,1496,132,0.9953
10,1,14,15,25,1497,130,0.9942
11,1,14,14,25,1493,130,0.9942
12,0,11,13,25.5,1499,130,0.9941
13,0,11,12,25.5,1495,130,0.9941
14,1,13,9,25.5,1500,128,0.994
15,2,14,13,25,1498,129,0.9927
16,0,15,15,25,1491,130,0.9926
17,0,15,14,25,1487,130,0.9926
18,0,9,14,25.5,1496,131,0.9924
19,0,14,10,25.5,1498,128,0.9924
20,0,14,9,25.5,1494,128,0.9924
4096,15,3,2,24,1470,119,0.9015
,,,,,,,
Dunsparce,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,14,12,40,1500,187,1
2,0,15,13,39.5,1498,187,0.9999
3,1,14,15,39,1500,188,0.9986
4,0,13,13,40,1498,188,0.9983
5,0,14,15,39.5,1499,188,0.9982
6,0,14,14,39.5,1496,188,0.9982
7,0,15,15,39,1494,188,0.998
8,1,15,10,39.5,1500,185,0.9967
9,0,12,15,40,1499,189,0.9965
10,0,15,10,40,1499,185,0.9963
11,2,15,13,38.5,1499,186,0.9952
12,1,15,13,39,1499,186,0.9949
13,0,14,11,40,1497,186,0.9947
14,0,15,12,39.5,1495,186,0.9945
15,2,14,15,38.5,1500,187,0.9935
16,1,13,13,39.5,1499,187,0.9934
17,1,14,14,39,1497,187,0.9932
18,1,15,15,38.5,1494,187,0.993
19,0,13,12,40,1495,187,0.993
20,0,14,13,39.5,1493,187,0.9929
4096,0,0,0,40,1388,177,0.8532
,,,,,,,
Gligar,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,15,12,33,1500,131,1
2,0,15,15,32.5,1500,132,0.9996
3,0,15,14,32.5,1496,132,0.9996
4,1,15,15,32,1499,132,0.9986
5,1,13,14,32.5,1499,132,0.9965
6,0,14,10,33.5,1499,130,0.9952
7,0,14,13,33,1500,131,0.995
8,0,14,12,33,1496,131,0.995
9,0,11,15,33,1497,133,0.9949
10,0,14,15,32.5,1497,132,0.9946
11,0,14,14,32.5,1492,132,0.9946
12,1,14,13,32.5,1499,131,0.994
13,1,14,15,32,1495,132,0.9936
14,0,9,12,34,1500,132,0.9928
15,0,12,12,33.5,1500,131,0.9927
16,0,15,9,33.5,1499,129,0.9925
17,0,9,14,33.5,1497,133,0.9925
18,0,12,14,33,1497,132,0.9924
19,0,15,11,33,1495,130,0.9924
20,0,15,13,32.5,1492,131,0.9921
4096,15,8,1,29.5,1476,118,0.8993
,,,,,,,
Steelix,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,14,15,24,1500,128,1
2,0,13,15,24,1498,128,0.9965
3,0,15,14,24,1499,127,0.9957
4,0,12,15,24,1495,128,0.993
5,1,10,15,24,1500,128,0.9927
6,0,14,14,24,1496,127,0.9922
7,1,14,12,24,1499,126,0.991
8,0,11,15,24,1492,128,0.9895
9,1,9,15,24,1497,128,0.9892
10,0,14,7,24.5,1500,124,0.9889
11,0,13,14,24,1494,127,0.9887
12,0,5,13,24.5,1499,128,0.9887
13,1,11,14,24,1499,127,0.9884
14,0,15,13,24,1495,126,0.9878
15,0,15,12,24,1491,126,0.9878
16,1,13,13,24,1500,126,0.9876
17,1,13,12,24,1496,126,0.9876
18,0,9,10,24.5,1499,126,0.9873
19,3,15,14,23.5,1498,126,0.9868
20,1,15,11,24,1497,125,0.9866
4096,15,4,2,22.5,1470,115,0.8952
,,,,,,,
Mega Steelix,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,7,15,15.5,1500,103,1
2,0,10,13,15.5,1499,102,0.9992
3,0,6,15,15.5,1498,103,0.997
4,0,9,13,15.5,1497,102,0.9962
5,1,4,15,15.5,1500,103,0.9957
6,0,12,12,15.5,1499,101,0.9953
7,1,7,13,15.5,1499,102,0.995
8,0,15,10,15.5,1498,100,0.9941
9,0,5,15,15.5,1495,103,0.994
10,0,8,14,15.5,1498,102,0.9933
11,0,8,13,15.5,1494,102,0.9933
12,1,3,15,15.5,1498,103,0.9927
13,0,11,12,15.5,1497,101,0.9923
14,1,6,13,15.5,1497,102,0.992
15,2,1,15,15.5,1500,103,0.9913
16,0,14,11,15.5,1500,100,0.9912
17,0,14,10,15.5,1496,100,0.9912
18,1,9,12,15.5,1500,101,0.9911
19,0,4,15,15.5,1493,103,0.991
20,2,4,13,15.5,1500,102,0.9907
4096,15,5,3,14.5,1451,93,0.899
,,,,,,,
Snubbull,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,1237,134,1
2,14,15,15,40,1229,134,0.9934
3,15,15,14,40,1234,133,0.9925
4,15,14,15,40,1231,134,0.99
5,13,15,15,40,1221,134,0.9868
6,14,15,14,40,1226,133,0.986
7,15,15,15,39.5,1228,133,0.9855
8,15,15,14,39.5,1225,133,0.9855
9,15,15,13,40,1230,132,0.9851
10,14,14,15,40,1223,134,0.9835
11,15,14,14,40,1227,133,0.9826
12,12,15,15,40,1213,134,0.9803
13,15,13,15,40,1225,134,0.98
14,13,15,14,40,1217,133,0.9795
15,14,15,15,39.5,1220,133,0.979
16,14,15,14,39.5,1217,133,0.979
17,14,15,13,40,1222,132,0.9786
18,15,15,15,39,1220,133,0.9784
19,15,15,13,39.5,1221,132,0.978
20,15,15,12,40,1226,131,0.9776
4096,0,0,0,40,982,122,0.6975
,,,,,,,
Granbull,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,15,15,22,1498,139,1
2,1,14,15,22,1500,139,0.9978
3,0,14,15,22,1493,139,0.9932
4,0,15,14,22,1495,138,0.9928
5,1,13,15,22,1495,139,0.991
6,1,14,14,22,1496,138,0.9907
7,1,15,13,22,1498,137,0.9903
8,1,15,12,22,1495,137,0.9903
9,2,12,15,22,1496,139,0.9887
10,2,13,14,22,1498,138,0.9884
11,2,14,13,22,1500,137,0.9881
12,2,14,12,22,1497,137,0.9881
13,0,9,15,22.5,1500,140,0.9877
14,0,9,14,22.5,1497,140,0.9877
15,0,10,13,22.5,1499,139,0.9877
16,2,15,11,22,1498,136,0.9876
17,0,11,11,22.5,1497,138,0.9875
18,0,12,10,22.5,1499,137,0.9873
19,0,13,8,22.5,1497,136,0.9869
20,0,14,7,22.5,1499,135,0.9865
4096,14,0,2,22,1468,130,0.8946
,,,,,,,
Qwilfish,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,12,14,28,1498,125,1
2,1,15,15,27.5,1498,124,0.9992
3,0,13,13,28,1498,124,0.9986
4,0,14,12,28,1499,123,0.9971
5,2,15,13,27.5,1497,123,0.9965
6,0,15,11,28,1500,122,0.9955
7,0,15,10,28,1495,122,0.9955
8,1,14,10,28,1499,122,0.9944
9,0,15,15,27.5,1490,124,0.9938
10,0,11,15,28,1497,125,0.9933
11,0,11,14,28,1493,125,0.9933
12,1,15,9,28,1499,121,0.9927
13,1,14,15,27.5,1493,124,0.9926
14,1,10,15,28,1500,125,0.992
15,1,10,14,28,1496,125,0.992
16,0,12,13,28,1493,124,0.992
17,0,13,7,28.5,1499,121,0.9918
18,0,7,14,28.5,1499,126,0.9918
19,2,13,15,27.5,1496,124,0.9914
20,1,15,14,27.5,1494,123,0.9911
4096,15,1,1,27.5,1474,114,0.8977
,,,,,,,
Scizor,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,1,15,15,18.5,1497,107,1
2,2,14,15,18.5,1500,107,0.9991
3,0,10,12,19,1500,107,0.9966
4,0,15,15,18.5,1491,107,0.9958
5,0,8,14,19,1500,108,0.9954
6,1,14,15,18.5,1494,107,0.9949
7,2,15,14,18.5,1500,106,0.9948
8,2,15,13,18.5,1496,106,0.9948
9,0,15,7,19,1498,104,0.994
10,2,13,15,18.5,1496,107,0.994
11,3,14,13,18.5,1498,106,0.9939
12,4,15,11,18.5,1500,105,0.9937
13,0,13,9,19,1499,105,0.9933
14,3,12,15,18.5,1498,107,0.993
15,0,11,11,19,1499,106,0.9924
16,0,9,13,19,1500,107,0.9914
17,0,9,12,19,1496,107,0.9914
18,0,14,15,18.5,1487,107,0.9907
19,1,15,14,18.5,1493,106,0.9907
20,1,15,13,18.5,1489,106,0.9907
4096,15,0,0,18.5,1462,98,0.8958
,,,,,,,
Mega Scizor,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,14,9,16.5,1499,90,1
2,0,6,15,16.5,1500,93,0.9992
3,0,11,11,16.5,1498,91,0.9986
4,0,8,13,16.5,1498,92,0.9969
5,1,7,13,16.5,1500,92,0.9966
6,3,15,15,16,1500,91,0.9962
7,3,15,14,16,1495,91,0.9962
8,4,14,14,16,1498,91,0.9959
9,0,13,10,16.5,1500,90,0.9959
10,0,13,9,16.5,1495,90,0.9959
11,1,12,9,16.5,1498,90,0.9956
12,0,5,15,16.5,1497,93,0.9949
13,1,4,15,16.5,1499,93,0.9945
14,0,10,12,16.5,1499,91,0.9944
15,0,10,11,16.5,1495,91,0.9944
16,1,9,11,16.5,1498,91,0.9941
17,2,8,11,16.5,1500,91,0.9938
18,0,15,8,16.5,1497,89,0.993
19,5,15,12,16,1498,90,0.9929
20,1,14,8,16.5,1500,89,0.9928
4096,15,1,0,16,1456,83,0.8962
,,,,,,,
Shuckle,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,15,15,15,40,405,79,1
2,15,14,15,40,404,79,0.9976
3,15,13,15,40,404,79,0.9951
4,15,12,15,40,403,79,0.9927
5,15,11,15,40,403,79,0.9903
6,15,10,15,40,402,79,0.9878
7,15,15,14,40,403,78,0.9873
8,15,9,15,40,402,79,0.9854
9,15,14,14,40,402,78,0.9849
10,15,8,15,40,401,79,0.983
11,15,13,14,40,402,78,0.9825
12,15,7,15,40,401,79,0.9805
13,15,15,15,39.5,402,78,0.9803
14,15,12,14,40,401,78,0.9801
15,15,6,15,40,400,79,0.9781
16,15,14,15,39.5,401,78,0.9779
17,15,11,14,40,401,78,0.9777
18,15,5,15,40,400,79,0.9757
19,15,13,15,39.5,401,78,0.9755
20,15,10,14,40,400,78,0.9753
4096,0,0,0,40,194,67,0.4341
,,,,,,,
Heracross,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,0,15,15,18,1498,116,1
2,1,15,13,18,1497,115,0.9956
3,0,14,15,18,1495,116,0.9948
4,2,14,13,18,1500,115,0.9947
5,1,13,15,18,1497,116,0.9939
6,2,12,15,18,1500,116,0.993
7,0,15,14,18,1495,115,0.9914
8,0,15,13,18,1491,115,0.9914
9,2,15,12,18,1500,114,0.9912
10,1,14,14,18,1497,115,0.9905
11,1,14,13,18,1494,115,0.9905
12,0,13,15,18,1491,116,0.9897
13,2,13,14,18,1500,115,0.9895
14,2,13,13,18,1496,115,0.9895
15,1,12,15,18,1493,116,0.9887
16,3,12,13,18,1499,115,0.9886
17,0,6,14,18.5,1500,117,0.9885
18,2,11,15,18,1496,116,0.9878
19,0,14,5,18.5,1498,112,0.9872
20,1,15,12,18,1494,114,0.987
4096,13,0,0,18,1463,107,0.8984
,,,,,,,
Mega Heracross,,,,,,,
Rank,Attack IV,Defense IV,Stamina IV,Level,CP,HP,Normalized Stat Product
1,3,15,15,13.5,1497,92,1
2,4,14,15,13.5,1498,92,0.9987
3,5,13,15,13.5,1500,92,0.9973
4,2,15,15,13.5,1492,92,0.9967
5,5,15,13,13.5,1499,91,0.9956
6,3,14,15,13.5,1494,92,0.9954
7,6,14,13,13.5,1500,91,0.9942
8,4,13,15,13.5,1495,92,0.9941
9,0,8,12,14,1500,92,0.9939
10,1,15,15,13.5,1487,92,0.9935
11,0,15,6,14,1500,89,0.9934
12,5,12,15,13.5,1496,92,0.9927
13,0,10,10,14,1499,91,0.9924
14,4,15,14,13.5,1498,91,0.9924
15,4,15,13,13.5,1494,91,0.9924
16,2,14,15,13.5,1489,92,0.9922
17,6,11,15,13.5,1498,92,0.9912
18,5,14,14,13.5,1499,91,0.991
19,5,14,13,13.5,1495,91,0.991
20,7,15,11,13.5,1500,90,0.991
4096,15,2,0,13.5,1447,84,0.8922
,,,,,,,
